messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,5,647,45.0531,7.65489,90,0.93,3.8
2,5,847,45.0531,7.6549,90,1.66,3.8
2,5,1047,45.0531,7.6549,90,2.37,3.9
2,2,1050,45.0531,7.65468,236.9,3.41,3.5
2,5,1247,45.0531,7.65491,90,3.02,2.7
2,2,1250,45.0531,7.65467,236.9,4.02,2.5
2,5,1447,45.0531,7.65492,90,3.65,3.1
2,2,1450,45.0531,7.65466,236.9,4.55,2.5
2,5,1647,45.0531,7.65493,90,4.26,2.4
2,2,1650,45.0531,7.65465,236.9,5.16,3.1
2,5,1847,45.0531,7.65494,90,4.88,2.2
2,2,1850,45.0531,7.65464,236.9,5.75,2.4
2,5,2047,45.0531,7.65495,90,5.51,2.3
2,2,2050,45.0531,7.65462,236.9,6.3,2.1
2,6,2199,45.0531,7.6547,236.9,0.89,3.9
2,5,2247,45.0531,7.65497,90,6.09,2.1
2,2,2250,45.0531,7.65461,236.9,6.9,2.6
2,7,2352,45.0523,7.65478,303.6,1.07,3.9
2,6,2399,45.0531,7.65469,236.9,1.63,3.4
2,5,2447,45.0531,7.65498,90,6.67,3.8
2,2,2450,45.053,7.65459,236.9,7.48,2.7
2,7,2552,45.0523,7.65478,303.6,1.8,3.5
2,6,2599,45.0531,7.65469,236.9,2.33,3
2,5,2647,45.0531,7.655,90,7.32,3.4
2,2,2650,45.053,7.65458,236.9,8.1,2.8
2,7,2752,45.0523,7.65478,303.6,2.49,3.2
2,6,2799,45.0531,7.65468,236.9,2.98,2.9
2,5,2847,45.0531,7.65502,90,7.93,2.4
2,2,2850,45.053,7.65456,236.9,8.32,1.5
2,7,2952,45.0523,7.65477,303.6,3.16,3.5
2,6,2999,45.0531,7.65468,236.9,3.61,2.4
2,5,3047,45.0531,7.65504,90,8.53,3.5
2,2,3050,45.053,7.65454,236.9,8.31,-0.6
2,7,3152,45.0523,7.65477,303.6,3.78,2.4
2,6,3199,45.0531,7.65469,236.9,4.22,3.7
2,5,3247,45.0531,7.65506,90,9.11,2.2
2,2,3250,45.053,7.65452,236.9,8.32,1.1
2,7,3352,45.0523,7.65476,303.6,4.38,2.7
2,6,3399,45.0531,7.65468,236.9,4.83,3.4
2,5,3447,45.0531,7.65508,90,9.74,3.4
2,7,3552,45.0523,7.65475,303.6,4.97,2.9
2,6,3599,45.0531,7.65467,236.9,5.49,3.4
2,5,3647,45.0531,7.65511,90,10.33,3.5
2,2,3750,45.053,7.65448,236.9,8.32,0.9
2,7,3752,45.0523,7.65474,303.6,5.55,3
2,6,3799,45.053,7.65466,236.9,6.11,2.9
2,5,3847,45.0531,7.65514,90,10.94,3.7
2,7,3952,45.0523,7.65473,303.6,6.19,2.7
